Id_contenuto,durata_s,data_pubblicazione,tipo_contenuto,like,condivisioni,commenti,salvataggi,copertura,follower
18059873482501786,0,01/31/2024 22:30,Immagine di Instagram,687,63,3,29,9675,11
18412975843039387,61,01/31/2024 06:17,Reel di Instagram,833,35,7,54,12203,45
17873656581042787,0,01/29/2024 22:30,Carosello di Instagram,82,3,0,5,2788,1
18012953456478991,80,01/29/2024 02:49,Reel di Instagram,1582,49,11,112,26940,76
17960668202705492,0,01/27/2024 22:30,Immagine di Instagram,403,26,6,92,8462,4
18077288296450766,0,01/26/2024 22:30,Immagine di Instagram,233,8,4,20,3920,6
17988618149557447,86,01/26/2024 06:59,Reel di Instagram,1222,94,23,96,22090,23
18001209272166175,90,01/26/2024 01:59,Reel di Instagram,508,3,8,12,8690,1
18091828399400853,0,01/25/2024 22:30,Immagine di Instagram,155,5,0,6,3873,0
18010759643001103,90,01/24/2024 04:10,Reel di Instagram,723,37,8,80,16338,11
18043110484623180,66,01/23/2024 02:33,Reel di Instagram,2924,113,61,259,39638,106
17989443041614274,0,01/22/2024 22:30,Carosello di Instagram,44,3,0,6,2060,3
18025279681918647,52,01/22/2024 05:32,Reel di Instagram,378,12,3,15,9500,8
18025252711911530,0,01/21/2024 11:20,Carosello di Instagram,4855,242,212,193,52956,52
18017340446013485,0,01/20/2024 22:30,Immagine di Instagram,138,7,0,14,4227,2
18084834562414887,0,01/19/2024 22:30,Immagine di Instagram,281,13,3,10,4324,2
18095215006384069,195,01/19/2024 02:29,Reel di Instagram,1887,49,63,148,21769,12
18028567861850667,0,01/17/2024 22:30,Immagine di Instagram,597,39,3,21,8714,0
17910616157870548,88,01/17/2024 04:25,Reel di Instagram,1201,92,19,92,27007,34
17918532509847685,0,01/15/2024 22:30,Carosello di Instagram,63,0,0,3,2570,0
18031792999790534,38,01/15/2024 01:26,Reel di Instagram,633,10,1,39,14933,17
17993791739295352,0,01/13/2024 22:30,Immagine di Instagram,224,7,0,29,5900,6
18015460433091856,0,01/12/2024 22:30,Immagine di Instagram,292,4,6,6,4880,3
18001731164366762,90,01/12/2024 01:15,Reel di Instagram,983,46,5,118,25765,39
18037622134646996,0,01/10/2024 22:30,Immagine di Instagram,700,46,0,29,9299,4
18033686371706762,78,01/10/2024 02:11,Reel di Instagram,130,3,2,6,4025,2
18016083656078605,0,01/08/2024 22:30,Carosello di Instagram,62,0,0,3,2196,0
18245506138242189,21,01/08/2024 03:34,Reel di Instagram,836,2,6,49,30342,291
18008919614490760,60,01/04/2024 23:01,Reel di Instagram,92,1,0,2,4291,3
18028728205829229,0,01/03/2024 22:30,Immagine di Instagram,206,11,7,7,4227,0
17842012098203443,0,04/01/2024 22:30,Carosello di Instagram,76,0,0,5,2199,1
18049922311618190,89,04/01/2024 02:13,Reel di Instagram,1360,70,44,68,22642,19
18024922073473100,0,06/30/2024 23:06,Carosello di Instagram,149,0,3,1,2556,0
18457932844003836,0,06/29/2024 22:30,Immagine di Instagram,240,18,15,29,8527,3
18019092830108295,0,06/28/2024 22:30,Immagine di Instagram,108,1,0,1,3014,0
17872273371082875,0,06/28/2024 05:30,Carosello di Instagram,19,1,0,0,3197,0
18134442034341320,0,06/26/2024 22:30,Immagine di Instagram,1379,98,6,51,26885,6
17888554545007121,71,06/26/2024 09:00,Reel di Instagram,321,4,11,8,6931,4
18018115223122114,0,06/25/2024 01:36,Carosello di Instagram,52,6,0,4,3834,1
18118673041373717,88,06/24/2024 09:18,Reel di Instagram,63,4,0,10,4785,2
18143220085323127,0,06/22/2024 22:30,Immagine di Instagram,253,3,0,75,6189,2
18237388552257150,0,06/21/2024 22:30,Immagine di Instagram,187,4,3,5,5278,0
18041186293883221,0,06/19/2024 22:30,Immagine di Instagram,301,38,1,12,8223,1
18039480112822563,214,06/19/2024 10:26,Reel di Instagram,481,7,9,13,10650,3
18016495382129117,0,06/18/2024 08:36,Carosello di Instagram,154,0,1,8,4460,0
17983204799690769,90,06/17/2024 10:20,Reel di Instagram,343,7,1,10,5672,4
18057606406623250,0,06/15/2024 22:30,Immagine di Instagram,463,13,10,42,13993,4
18092241535435861,0,06/14/2024 22:30,Immagine di Instagram,461,15,12,26,6470,3
18026577833142743,0,06/14/2024 07:42,Immagine di Instagram,72,2,8,30,7330,7
17851367340185356,0,06/12/2024 22:30,Immagine di Instagram,513,32,2,22,15389,2
18011033405421935,72,06/12/2024 09:13,Reel di Instagram,241,2,9,9,6375,6
17882269917069759,0,06/11/2024 02:59,Carosello di Instagram,136,4,0,9,7380,1
18301060693081177,87,06/10/2024 07:56,Reel di Instagram,961,78,27,85,19310,8
18034807291822636,0,06/08/2024 22:30,Immagine di Instagram,385,29,9,40,10997,3
18034355752951578,0,06/07/2024 22:30,Immagine di Instagram,124,4,0,3,3521,0
17868178749129998,120,06/06/2024 23:53,Reel di Instagram,684,4,14,31,10510,11
18358124461104941,0,06/05/2024 22:30,Immagine di Instagram,709,108,7,45,18029,4
17863932741101551,90,06/05/2024 08:13,Reel di Instagram,865,58,15,59,14516,18
18054024307567210,0,06/03/2024 22:30,Carosello di Instagram,76,6,3,2,4496,2
18046545796692295,45,06/03/2024 04:15,Reel di Instagram,184,5,3,4,6422,5
18021817565331336,0,06/02/2024 01:07,Immagine di Instagram,164,9,0,26,4365,2
18022325885236865,0,05/31/2024 22:30,Immagine di Instagram,293,14,3,10,6661,2
17995902182448341,90,05/31/2024 10:05,Reel di Instagram,154,2,0,4,6092,4
18442602547048993,0,05/29/2024 22:30,Immagine di Instagram,554,43,3,22,12813,4
17864769996119256,45,05/29/2024 10:21,Reel di Instagram,191,1,7,8,5387,0
18080220328483960,0,05/29/2024 02:32,Immagine di Instagram,98,9,2,25,9005,5
18022692575326415,65,05/28/2024 07:40,Reel di Instagram,434,13,8,40,9337,3
17983095245520152,2068,05/27/2024 02:59,Reel di Instagram,916,16,50,114,12259,21
18027163651915656,0,05/27/2024 02:52,Immagine di Instagram,41,1,0,2,4283,2
18018383318198619,0,05/27/2024 01:39,Carosello di Instagram,653,4,12,13,11379,8
18060390631576133,0,05/25/2024 22:30,Immagine di Instagram,152,4,0,20,5223,3
18000043385560514,0,05/25/2024 07:04,Carosello di Instagram,392,5,10,15,4635,3
18045407305695439,56,05/25/2024 03:06,Reel di Instagram,120,4,3,3,4235,0
18029028170088107,252,05/25/2024 01:14,Reel di Instagram,180,1,2,7,2738,2
17849802588209503,34,05/25/2024 01:06,Reel di Instagram,340,6,8,5,4848,3
17855332656143480,0,05/24/2024 22:30,Immagine di Instagram,173,2,2,7,3230,1
17904157475972604,743,05/24/2024 10:01,Reel di Instagram,1165,53,33,157,17180,12
17955963680657235,900,05/23/2024 08:55,Reel di Instagram,968,33,35,148,15979,7
17880235212070330,0,05/22/2024 22:30,Immagine di Instagram,315,13,3,19,8208,1
18040069795868035,87,05/22/2024 09:25,Reel di Instagram,771,50,23,69,11155,21
17995205453443900,49,05/21/2024 09:20,Reel di Instagram,222,4,2,10,7075,8
17910662474861429,35,05/20/2024 08:40,Reel di Instagram,261,4,1,11,7065,3
18035776624928823,0,05/18/2024 22:30,Immagine di Instagram,975,117,12,100,16882,6
17984714474661113,0,05/17/2024 22:30,Immagine di Instagram,103,0,0,2,3081,1
17998278497378495,0,05/17/2024 06:30,Immagine di Instagram,82,2,1,8,3927,0
18232265197280278,90,05/17/2024 03:21,Reel di Instagram,937,29,7,154,16598,100
18266425939239814,0,05/15/2024 22:30,Immagine di Instagram,528,61,1,41,17055,5
17917737935824939,47,05/15/2024 09:19,Reel di Instagram,1230,69,22,59,22372,25
17964485165623338,65,05/14/2024 01:14,Reel di Instagram,1331,86,19,96,23120,19
18019763060035698,0,05/13/2024 04:54,Carosello di Instagram,1246,85,42,65,16462,9
18314619718179561,0,05/11/2024 22:30,Immagine di Instagram,239,8,2,23,8873,1
18042027670837860,0,05/10/2024 22:30,Immagine di Instagram,177,4,0,5,5675,2
18426927646062394,27,05/10/2024 08:36,Reel di Instagram,110,6,7,4,6681,2
17853793101143979,0,05/08/2024 22:30,Immagine di Instagram,198,8,0,14,5191,1
17908013861951039,89,05/08/2024 10:12,Reel di Instagram,972,18,8,152,15697,36
17888878136960552,0,05/07/2024 03:10,Immagine di Instagram,69,1,0,3,3900,1
17991959267474082,74,05/06/2024 09:12,Reel di Instagram,1089,95,29,49,19355,18
18013574807111421,0,05/05/2024 00:06,Immagine di Instagram,936,43,22,197,30615,28
18308533855146685,0,05/03/2024 22:30,Immagine di Instagram,170,5,1,16,3907,3
18042847327758918,0,05/03/2024 04:06,Immagine di Instagram,343,1,5,9,5695,1
18319500967131518,0,05/01/2024 22:30,Immagine di Instagram,640,60,1,59,10110,6
17862943233129531,85,05/01/2024 10:00,Reel di Instagram,578,18,15,66,10899,25
18013321451366176,0,04/30/2024 06:57,Carosello di Instagram,81,8,1,10,3063,1
17877163611014853,90,04/29/2024 09:10,Reel di Instagram,954,5,15,86,16045,17
18254800459246171,0,04/27/2024 22:30,Immagine di Instagram,548,29,2,88,9844,5
17924254208863315,0,04/26/2024 22:30,Immagine di Instagram,405,13,5,31,7346,3
18022375538126689,68,04/26/2024 10:07,Reel di Instagram,1250,42,33,92,21859,45
